lat,lng,type,city
21.1702401,72.8310607,Restaurant,Surat
21.190699,72.842308,Restaurant,Surat
21.1738333,72.8378166,Restaurant,Surat
21.184037,72.8469567,Restaurant,Surat
21.1895046,72.8345911,Restaurant,Surat
21.186118,72.8146372,Restaurant,Surat
21.1631862,72.8117374,Restaurant,Surat
21.1760277,72.8178328,Restaurant,Surat
21.1920642,72.8365606,Restaurant,Surat
21.184291,72.813123,Restaurant,Surat
21.1750746,72.8077557,Restaurant,Surat
21.1905925,72.8423487,Restaurant,Surat
21.1722166,72.83875,Restaurant,Surat
21.1784154,72.8191213,Restaurant,Surat
21.1889967,72.8410362,Restaurant,Surat
21.1910054,72.843332,Restaurant,Surat
21.1850441,72.8200445,Restaurant,Surat
21.1916647,72.8145725,Restaurant,Surat
21.1929123,72.8437007,Restaurant,Surat
21.1431152,72.8431097,Restaurant,Surat
21.1889279,72.8116957,Restaurant,Surat
21.1807255,72.8184548,Restaurant,Surat
21.186652,72.810945,Restaurant,Surat
21.1708226,72.8203245,Restaurant,Surat
21.1844666,72.8331833,Restaurant,Surat
21.1844252,72.8332822,Restaurant,Surat
21.195,72.819444,Restaurant,Surat
21.1758684,72.8095991,Restaurant,Surat
21.195,72.819444,Restaurant,Surat
21.1950397,72.8216725,Restaurant,Surat
21.195,72.819444,Restaurant,Surat
21.181706,72.8306611,Restaurant,Surat
21.185449,72.814576,Restaurant,Surat
21.188291,72.841178,Restaurant,Surat
21.18105,72.820901,Restaurant,Surat
21.195,72.819444,Restaurant,Surat
21.169319,72.843535,Restaurant,Surat
21.1760862,72.8112505,Restaurant,Surat
21.1543091,72.8500709,Restaurant,Surat
21.1814013,72.8170822,Restaurant,Surat
21.1755454,72.8174339,Restaurant,Surat
21.1710488,72.8394714,Restaurant,Surat
21.1809602,72.8186827,Restaurant,Surat
21.195,72.819444,Restaurant,Surat
21.184433,72.817105,Restaurant,Surat
21.1898535,72.8146435,Restaurant,Surat
21.1812384,72.8175588,Restaurant,Surat
21.1884276,72.8409569,Restaurant,Surat
21.1960576,72.8370715,Restaurant,Surat
21.178654,72.83751,Restaurant,Surat
21.184181,72.833358,Restaurant,Surat
21.180564,72.820975,Restaurant,Surat
21.1813971,72.8256708,Restaurant,Surat
